[2025-06-05 09:58:03,595: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-06-05 09:58:27,887: WARNING: module_wrapper]: From C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\.venv\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2025-06-05 09:58:28,383: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-06-05 09:58:28,413: INFO: face_verification]: Extracting face...
[2025-06-05 09:58:30,719: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 09:58:31,077: INFO: sql_connection]: Connection established with database
[2025-06-05 09:58:31,441: INFO: app]: Page layout set to wider configuration.
[2025-06-05 09:58:31,442: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 09:58:31,443: INFO: app]: ID card type selected: PAN
[2025-06-05 09:58:31,444: INFO: app]: Header set for PAN Card registration.
[2025-06-05 17:53:40,376: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-06-05 17:54:04,008: WARNING: module_wrapper]: From C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\.venv\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2025-06-05 17:54:05,367: INFO: utils]: yaml  file: config.yaml loaded successfully
[2025-06-05 17:54:05,399: INFO: face_verification]: Extracting face...
[2025-06-05 17:54:06,480: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 17:54:06,929: INFO: sql_connection]: Connection established with database
[2025-06-05 17:54:07,015: INFO: sql_connection]: College ID table created or already exists
[2025-06-05 17:54:07,783: INFO: app]: Page layout set to wider configuration.
[2025-06-05 17:54:07,784: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 17:54:07,786: INFO: app]: ID card type selected: PAN
[2025-06-05 17:54:07,787: INFO: app]: Header set for PAN Card registration.
[2025-06-05 18:00:14,742: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:00:14,743: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:00:14,746: INFO: app]: ID card type selected: COLLEGE ID
[2025-06-05 18:00:14,747: INFO: app]: Header set for College ID Card registration.
[2025-06-05 18:10:33,397: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:10:33,399: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:10:33,405: INFO: app]: ID card type selected: COLLEGE ID
[2025-06-05 18:10:33,406: INFO: app]: Header set for College ID Card registration.
[2025-06-05 18:10:46,979: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:10:46,980: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:10:46,981: INFO: app]: ID card type selected: COLLEGE ID
[2025-06-05 18:10:46,982: INFO: app]: Header set for College ID Card registration.
[2025-06-05 18:10:52,644: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:10:52,644: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:10:52,645: INFO: app]: ID card type selected: COLLEGE ID
[2025-06-05 18:10:52,646: INFO: app]: Header set for College ID Card registration.
[2025-06-05 18:10:52,663: INFO: app]: ID card image loaded.
[2025-06-05 18:10:52,683: INFO: preprocess]: contours are found at, (0, 0, 500, 500)
[2025-06-05 18:10:52,685: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2025-06-05 18:10:52,693: INFO: app]: ID card ROI extracted.
[2025-06-05 18:10:52,693: INFO: face_verification]: Extracting face...
[2025-06-05 18:10:52,762: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:10:52,763: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:10:52,769: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2025-06-05 18:10:52,769: INFO: app]: Faces extracted and saved.
[2025-06-05 18:10:52,769: INFO: face_verification]: Verifying the images....
[2025-06-05 18:10:52,769: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:10:52,769: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:10:55,418: INFO: face_verification]: Faces are verified as the same person
[2025-06-05 18:10:55,419: INFO: app]: Face verification status: successful.
[2025-06-05 18:10:55,419: INFO: ocr_engine]: Text Extraction Started...
[2025-06-05 18:10:55,420: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2025-06-05 18:10:57,476: INFO: ocr_engine]: Inside Try-Catch...
[2025-06-05 18:10:58,014: INFO: app]: Page layout set to wider configuration.
[2025-06-05 18:10:58,015: INFO: app]: Custom theme applied to Streamlit app.
[2025-06-05 18:10:58,017: INFO: app]: ID card type selected: COLLEGE ID
[2025-06-05 18:10:58,017: INFO: app]: Header set for College ID Card registration.
[2025-06-05 18:10:58,032: INFO: app]: ID card image loaded.
[2025-06-05 18:10:58,035: INFO: preprocess]: contours are found at, (36, 16, 783, 522)
[2025-06-05 18:10:58,036: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2025-06-05 18:10:58,049: INFO: app]: ID card ROI extracted.
[2025-06-05 18:10:58,050: INFO: face_verification]: Extracting face...
[2025-06-05 18:10:58,143: INFO: face_verification]: Extracted face saved at: C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:10:58,145: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:10:58,152: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2025-06-05 18:10:58,152: INFO: app]: Faces extracted and saved.
[2025-06-05 18:10:58,152: INFO: face_verification]: Verifying the images....
[2025-06-05 18:10:58,153: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:10:58,153: INFO: utils]: File exists at C:\Users\gulsy\Downloads\Desktop\EKYC\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2025-06-05 18:10:58,701: INFO: face_verification]: Faces are verified as the same person
[2025-06-05 18:10:58,702: INFO: app]: Face verification status: successful.
[2025-06-05 18:10:58,702: INFO: ocr_engine]: Text Extraction Started...
[2025-06-05 18:10:58,702: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2025-06-05 18:10:58,735: INFO: ocr_engine]: Extracted Text: |2022/10/072113|
[2025-06-05 18:10:58,736: INFO: app]: Text extracted from ID card.
[2025-06-05 18:10:58,809: INFO: sql_connection]: No college ID records found.
[2025-06-05 18:10:58,814: INFO: sql_connection]: No college ID records found.
[2025-06-05 18:10:58,815: INFO: sql_connection]: No duplicate college ID records found.
[2025-06-05 18:10:58,815: INFO: face_verification]: Retrieving face embeddings from image: data\02_intermediate_data\face_image.jpg
[2025-06-05 18:10:58,815: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:11:01,430: INFO: ocr_engine]: Inside Try-Catch...
[2025-06-05 18:11:02,426: INFO: face_verification]: Face embeddings retrieved successfully
[2025-06-05 18:11:02,431: ERROR: sql_connection]: Error inserting records into college_ids table: 1292 (22007): Incorrect date value: '' for column 'validity' at row 1
[2025-06-05 18:11:03,513: INFO: ocr_engine]: Extracted Text: |CSJJ.M: UNIVERSITY, KANPUR|Identity Card|Name|Darsh Vaibhav|Desig ICourse|B.Tech|2k21|Department|Comp. Sc. & Engg:|Contact No_|9555465817|Validity|6/30/2025|Address|Slo Sudesh Kumar,|Idgah Nagar ke Peeche Lakhpera Bagh|Bara Banki|Proctor|
[2025-06-05 18:11:03,514: INFO: app]: Text extracted from ID card.
[2025-06-05 18:11:03,516: INFO: sql_connection]: No college ID records found.
[2025-06-05 18:11:03,518: INFO: sql_connection]: No college ID records found.
[2025-06-05 18:11:03,518: INFO: sql_connection]: No duplicate college ID records found.
[2025-06-05 18:11:03,518: INFO: face_verification]: Retrieving face embeddings from image: data\02_intermediate_data\face_image.jpg
[2025-06-05 18:11:03,518: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2025-06-05 18:11:03,907: INFO: face_verification]: Face embeddings retrieved successfully
